Description,Class
Fuel Oil Delivery - Chemical Storage Peak Demand,Heating
Kwh Usage - Production Line 3 (Semi-Annual),Electricity
Utility Water Bill - Admin Block Q3,Water
Heating Service - Chemical Storage Winter Season,Heating
Electricity Supply - Packaging Facility (Year-End),Electricity
Hazardous Waste Pickup - Recyclable Materials Weekly Service,Waste Disposal
Heating Service - Boiler Room Monthly,Heating
Electrical Service - Packaging Facility (January),Electricity
Scrap Metal Hauling - Pallet Disposal Weekly Service,Waste Disposal
Scrap Metal Hauling - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Fuel Oil Delivery - Chemical Storage Gas Meter Reading,Heating
Propane Purchase - Drying Ovens Peak Demand,Heating
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Electricity Supply - Packaging Facility (December),Electricity
Municipal Water - Fire Sprinklers Meter Reading,Water
Municipal Water - Production Site Monthly Invoice,Water
Scrap Metal Hauling - Industrial Debris Container Emptying,Waste Disposal
Utility Water Bill - Laboratory Q2,Water
Municipal Water - Fire Sprinklers Monthly Invoice,Water
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Electrical Service - R&D Lab (January),Electricity
Electricity Supply - Data Center (Year-End),Electricity
Waste Disposal - Recyclable Materials Q1,Waste Disposal
Water Charges - Fire Sprinklers April,Water
Refuse Collection - Solvent Waste Container Emptying,Waste Disposal
H2O Billing - Laboratory Q3,Water
Kwh Usage - Corporate Office (Q1),Electricity
Chemical Waste Removal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Grid Charge - North Warehouse (Year-End),Electricity
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Kwh Usage - Corporate Office (Q3),Electricity
H2O Billing - Irrigation System Annual Fee,Water
Fuel Oil Delivery - Boiler Room Winter Season,Heating
Fuel Oil Delivery - Chemical Storage Peak Demand,Heating
Municipal Water - Irrigation System July,Water
Grid Charge - North Warehouse (Q3),Electricity
Electricity Supply - Packaging Facility (Q3),Electricity
H2O Billing - Cooling Tower July,Water
Electricity Supply - Main Plant (Semi-Annual),Electricity
Water Supply - Cooling Tower Annual Fee,Water
Kwh Usage - Corporate Office (January),Electricity
Heating Service - Boiler Room October,Heating
Gas Consumption - Drying Ovens Monthly,Heating
Water Supply - Cooling Tower Annual Fee,Water
Electrical Service - Corporate Office (Q1),Electricity
Natural Gas Supply - Warehouse February,Heating
Power Consumption - North Warehouse (Year-End),Electricity
Scrap Metal Hauling - Pallet Disposal Weekly Service,Waste Disposal
Electrical Service - Production Line 3 (Q1),Electricity
Grid Charge - Production Line 3 (Monthly),Electricity
Waste Disposal - General Refuse Bi-Weekly Pickup,Waste Disposal
Water Supply - Laboratory July,Water
Grid Charge - Data Center (Monthly),Electricity
H2O Billing - Production Site Q2,Water
Water Charges - Cooling Tower Monthly Invoice,Water
Gas Consumption - Boiler Room February,Heating
Electrical Service - Packaging Facility (December),Electricity
Water Supply - Irrigation System Meter Reading,Water
Power Consumption - North Warehouse (Quarterly),Electricity
Propane Purchase - Boiler Room February,Heating
Electrical Service - Corporate Office (Monthly),Electricity
Municipal Water - Admin Block April,Water
Propane Purchase - Office Building 2 Winter Season,Heating
Power Consumption - Data Center (December),Electricity
Gas Consumption - Warehouse October,Heating
H2O Billing - Cooling Tower July,Water
Electricity Supply - Corporate Office (Year-End),Electricity
Water Supply - Production Site July,Water
Scrap Metal Hauling - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Natural Gas Supply - Manufacturing Area October,Heating
Electricity Supply - North Warehouse (Year-End),Electricity
Natural Gas Supply - Manufacturing Area Winter Season,Heating
Refuse Collection - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Waste Disposal - Solvent Waste Weekly Service,Waste Disposal
Water Charges - Laboratory Monthly Invoice,Water
Scrap Metal Hauling - Pallet Disposal Monthly Fee,Waste Disposal
Municipal Water - Fire Sprinklers Monthly Invoice,Water
Heating Service - Drying Ovens February,Heating
Electricity Supply - North Warehouse (Semi-Annual),Electricity
Gas Consumption - Chemical Storage February,Heating
Kwh Usage - Production Line 3 (Semi-Annual),Electricity
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Laboratory Q3,Water
Fuel Oil Delivery - Boiler Room Monthly,Heating
Water Charges - Irrigation System July,Water
Scrap Metal Hauling - General Refuse Weekly Service,Waste Disposal
Gas Consumption - Chemical Storage Monthly,Heating
Hazardous Waste Pickup - Solvent Waste Monthly Fee,Waste Disposal
Scrap Metal Hauling - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Waste Disposal - General Refuse Monthly Fee,Waste Disposal
Waste Disposal - Pallet Disposal Container Emptying,Waste Disposal
Scrap Metal Hauling - Pallet Disposal Monthly Fee,Waste Disposal
Chemical Waste Removal - Pallet Disposal Q1,Waste Disposal
Refuse Collection - Solvent Waste Weekly Service,Waste Disposal
Power Consumption - R&D Lab (Q3),Electricity
Gas Consumption - Chemical Storage Monthly,Heating
Municipal Water - Cooling Tower Annual Fee,Water
Refuse Collection - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Fire Sprinklers Meter Reading,Water
Natural Gas Supply - Manufacturing Area Q4,Heating
Power Consumption - Packaging Facility (December),Electricity
Gas Consumption - Warehouse Q4,Heating
Natural Gas Supply - Office Building 2 Monthly,Heating
Refuse Collection - Pallet Disposal Weekly Service,Waste Disposal
H2O Billing - Admin Block Q2,Water
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Gas Consumption - Warehouse Peak Demand,Heating
Natural Gas Supply - Drying Ovens February,Heating
Water Supply - Admin Block Monthly Invoice,Water
Propane Purchase - Warehouse October,Heating
Natural Gas Supply - Warehouse Gas Meter Reading,Heating
Gas Consumption - Manufacturing Area Peak Demand,Heating
Power Consumption - Main Plant (Semi-Annual),Electricity
Municipal Water - Admin Block April,Water
Utility Water Bill - Admin Block April,Water
Electrical Service - Production Line 3 (Q1),Electricity
Grid Charge - R&D Lab (Year-End),Electricity
Water Supply - Cooling Tower Q3,Water
Municipal Water - Production Site Q3,Water
Hazardous Waste Pickup - Solvent Waste Monthly Fee,Waste Disposal
H2O Billing - Admin Block Meter Reading,Water
Fuel Oil Delivery - Chemical Storage October,Heating
Waste Disposal - Solvent Waste Container Emptying,Waste Disposal
Gas Consumption - Warehouse Winter Season,Heating
Grid Charge - Corporate Office (Monthly),Electricity
Kwh Usage - R&D Lab (Semi-Annual),Electricity
Heating Service - Drying Ovens Peak Demand,Heating
Chemical Waste Removal - Pallet Disposal Weekly Service,Waste Disposal
Heating Service - Chemical Storage Gas Meter Reading,Heating
Gas Consumption - Chemical Storage Q4,Heating
Gas Consumption - Office Building 2 Monthly,Heating
Heating Service - Manufacturing Area Q4,Heating
Power Consumption - North Warehouse (Year-End),Electricity
Waste Disposal - General Refuse Monthly Fee,Waste Disposal
Electrical Service - North Warehouse (Year-End),Electricity
Water Supply - Admin Block Meter Reading,Water
Municipal Water - Cooling Tower April,Water
H2O Billing - Fire Sprinklers Q2,Water
Hazardous Waste Pickup - Industrial Debris Q1,Waste Disposal
Heating Service - Warehouse Monthly,Heating
Waste Disposal - Recyclable Materials Bi-Weekly Pickup,Waste Disposal
Hazardous Waste Pickup - Solvent Waste Monthly Fee,Waste Disposal
Gas Consumption - Chemical Storage Peak Demand,Heating
Kwh Usage - Packaging Facility (Year-End),Electricity
Water Supply - Fire Sprinklers Q3,Water
Chemical Waste Removal - Solvent Waste Q1,Waste Disposal
Water Charges - Cooling Tower Annual Fee,Water
Scrap Metal Hauling - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Electrical Service - Production Line 3 (Year-End),Electricity
Utility Water Bill - Production Site Q3,Water
Heating Service - Boiler Room October,Heating
Chemical Waste Removal - Recyclable Materials Container Emptying,Waste Disposal
Chemical Waste Removal - Recyclable Materials Container Emptying,Waste Disposal
Water Charges - Laboratory April,Water
H2O Billing - Irrigation System Monthly Invoice,Water
Electrical Service - Main Plant (Year-End),Electricity
Kwh Usage - Packaging Facility (Quarterly),Electricity
Gas Consumption - Drying Ovens February,Heating
Natural Gas Supply - Boiler Room October,Heating
Fuel Oil Delivery - Manufacturing Area October,Heating
Natural Gas Supply - Chemical Storage Monthly,Heating
Heating Service - Manufacturing Area Gas Meter Reading,Heating
Municipal Water - Admin Block Q2,Water
Power Consumption - Corporate Office (Q3),Electricity
Fuel Oil Delivery - Chemical Storage Winter Season,Heating
Electricity Supply - Corporate Office (Semi-Annual),Electricity
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Grid Charge - North Warehouse (Year-End),Electricity
Water Charges - Production Site Meter Reading,Water
Natural Gas Supply - Drying Ovens Peak Demand,Heating
Electricity Supply - Production Line 3 (Quarterly),Electricity
Waste Disposal - General Refuse Q1,Waste Disposal
H2O Billing - Admin Block Annual Fee,Water
Fuel Oil Delivery - Manufacturing Area Winter Season,Heating
Grid Charge - Production Line 3 (Monthly),Electricity
Gas Consumption - Warehouse Peak Demand,Heating
Water Charges - Admin Block July,Water
Fuel Oil Delivery - Chemical Storage Q4,Heating
Power Consumption - Packaging Facility (Q3),Electricity
Municipal Water - Admin Block Monthly Invoice,Water
Heating Service - Drying Ovens February,Heating
Electricity Supply - Corporate Office (January),Electricity
Electricity Supply - Main Plant (January),Electricity
Utility Water Bill - Production Site Meter Reading,Water
Water Supply - Fire Sprinklers Monthly Invoice,Water
H2O Billing - Production Site Meter Reading,Water
H2O Billing - Fire Sprinklers Q2,Water
Kwh Usage - Corporate Office (January),Electricity
Kwh Usage - Packaging Facility (Semi-Annual),Electricity
Electricity Supply - Data Center (Q1),Electricity
Electrical Service - North Warehouse (Quarterly),Electricity
Water Charges - Laboratory Meter Reading,Water
Waste Disposal - Recyclable Materials Q1,Waste Disposal
Chemical Waste Removal - Solvent Waste Container Emptying,Waste Disposal
Municipal Water - Irrigation System Meter Reading,Water
Scrap Metal Hauling - General Refuse Weekly Service,Waste Disposal
Kwh Usage - Packaging Facility (December),Electricity
Water Supply - Fire Sprinklers Q3,Water
Hazardous Waste Pickup - Solvent Waste Bi-Weekly Pickup,Waste Disposal
Water Charges - Irrigation System Meter Reading,Water
Hazardous Waste Pickup - Industrial Debris Q1,Waste Disposal
Natural Gas Supply - Manufacturing Area Monthly,Heating
H2O Billing - Admin Block Monthly Invoice,Water
Scrap Metal Hauling - Recyclable Materials Container Emptying,Waste Disposal
Grid Charge - Data Center (December),Electricity
Electricity Supply - Data Center (Semi-Annual),Electricity
Chemical Waste Removal - Recyclable Materials Container Emptying,Waste Disposal
Heating Service - Manufacturing Area February,Heating
Grid Charge - Main Plant (Quarterly),Electricity
Water Supply - Laboratory April,Water
Hazardous Waste Pickup - Pallet Disposal Container Emptying,Waste Disposal
Propane Purchase - Chemical Storage Q4,Heating
Propane Purchase - Drying Ovens February,Heating
Refuse Collection - General Refuse Bi-Weekly Pickup,Waste Disposal
Refuse Collection - Recyclable Materials Q1,Waste Disposal
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Heating Service - Boiler Room October,Heating
Gas Consumption - Boiler Room Monthly,Heating
Water Supply - Admin Block Meter Reading,Water
Waste Disposal - Recyclable Materials Container Emptying,Waste Disposal
Municipal Water - Fire Sprinklers Q2,Water
Electricity Supply - Data Center (Quarterly),Electricity
Chemical Waste Removal - Pallet Disposal Q1,Waste Disposal
Natural Gas Supply - Office Building 2 Monthly,Heating
Electrical Service - Main Plant (Year-End),Electricity
Utility Water Bill - Production Site Q3,Water
Municipal Water - Cooling Tower Annual Fee,Water
Propane Purchase - Boiler Room October,Heating
Waste Disposal - Pallet Disposal Q1,Waste Disposal
Grid Charge - Data Center (Semi-Annual),Electricity
Chemical Waste Removal - Industrial Debris Q1,Waste Disposal
Power Consumption - Data Center (Q1),Electricity
Electrical Service - R&D Lab (Q1),Electricity
Water Charges - Admin Block Monthly Invoice,Water
Natural Gas Supply - Office Building 2 February,Heating
Scrap Metal Hauling - Recyclable Materials Q1,Waste Disposal
Water Charges - Irrigation System Annual Fee,Water
Utility Water Bill - Admin Block July,Water
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Waste Disposal - Industrial Debris Bi-Weekly Pickup,Waste Disposal
Natural Gas Supply - Chemical Storage Winter Season,Heating
Natural Gas Supply - Manufacturing Area Winter Season,Heating
Chemical Waste Removal - Recyclable Materials Weekly Service,Waste Disposal
Natural Gas Supply - Drying Ovens February,Heating
Grid Charge - R&D Lab (Quarterly),Electricity
Municipal Water - Fire Sprinklers Q3,Water
H2O Billing - Production Site Q2,Water
Refuse Collection - Recyclable Materials Weekly Service,Waste Disposal
Electrical Service - Packaging Facility (Q3),Electricity
Power Consumption - R&D Lab (Semi-Annual),Electricity
Water Charges - Fire Sprinklers July,Water
H2O Billing - Irrigation System Q3,Water
Municipal Water - Admin Block April,Water
H2O Billing - Irrigation System Monthly Invoice,Water
Refuse Collection - Pallet Disposal Bi-Weekly Pickup,Waste Disposal
Utility Water Bill - Admin Block Monthly Invoice,Water
Utility Water Bill - Fire Sprinklers Q2,Water
Electrical Service - Data Center (December),Electricity
Refuse Collection - Industrial Debris Monthly Fee,Waste Disposal
Gas Consumption - Warehouse Peak Demand,Heating
Electricity Supply - Packaging Facility (Quarterly),Electricity
Electricity Supply - R&D Lab (Quarterly),Electricity
Municipal Water - Production Site Monthly Invoice,Water
Grid Charge - Production Line 3 (January),Electricity
H2O Billing - Cooling Tower Annual Fee,Water
H2O Billing - Fire Sprinklers Annual Fee,Water
Scrap Metal Hauling - General Refuse Q1,Waste Disposal
Power Consumption - Production Line 3 (Q1),Electricity
Fuel Oil Delivery - Office Building 2 Winter Season,Heating
Scrap Metal Hauling - Recyclable Materials Weekly Service,Waste Disposal
Hazardous Waste Pickup - Pallet Disposal Weekly Service,Waste Disposal
Natural Gas Supply - Boiler Room Winter Season,Heating
H2O Billing - Cooling Tower Q3,Water
Power Consumption - Corporate Office (Monthly),Electricity
Scrap Metal Hauling - General Refuse Monthly Fee,Waste Disposal
Natural Gas Supply - Warehouse October,Heating
Hazardous Waste Pickup - General Refuse Q1,Waste Disposal
Electricity Supply - North Warehouse (Year-End),Electricity
Kwh Usage - North Warehouse (Q3),Electricity
Chemical Waste Removal - Pallet Disposal Monthly Fee,Waste Disposal
